fecha,asignatura,tipo,curso,hora,sala
2025-03-10,Matemáticas,Prueba,1° Medio,08:30,Sala 201
2025-03-10,Lenguaje,Prueba,2° Medio,10:00,Sala 205
2025-03-12,Historia,Prueba,3° Medio,08:30,Sala 301
2025-03-12,Biología,Prueba,4° Medio,10:00,Laboratorio
2025-03-15,Inglés,Oral,1° Medio,14:00,Sala 201
2025-03-17,Física,Prueba,2° Medio,08:30,Sala 205
2025-03-17,Química,Laboratorio,3° Medio,10:00,Laboratorio
2025-03-19,Matemáticas,Prueba,4° Medio,08:30,Sala 305
2025-03-22,Lenguaje,Ensayo,1° Medio,10:00,Sala 201
2025-03-24,Historia,Prueba,2° Medio,08:30,Sala 205
2025-03-24,Educación Física,Práctica,1° Medio,14:00,Gimnasio
2025-03-26,Biología,Prueba,3° Medio,08:30,Sala 301
2025-03-26,Inglés,Prueba,4° Medio,10:00,Sala 305
2025-03-29,Matemáticas,Prueba,2° Medio,08:30,Sala 205
2025-03-31,Física,Laboratorio,3° Medio,10:00,Laboratorio
2025-04-02,Química,Prueba,4° Medio,08:30,Sala 305
2025-04-05,Lenguaje,Prueba,1° Medio,08:30,Sala 201
2025-04-07,Historia,Disertación,3° Medio,10:00,Sala 301
2025-04-07,Matemáticas,Prueba,4° Medio,14:00,Sala 305
2025-04-09,Biología,Prueba,2° Medio,08:30,Sala 205
2025-04-12,Inglés,Prueba,1° Medio,10:00,Sala 201
2025-04-14,Física,Prueba,4° Medio,08:30,Sala 305
2025-04-14,Música,Práctica,2° Medio,14:00,Sala Música
2025-04-16,Química,Prueba,3° Medio,08:30,Sala 301
2025-04-19,Historia,Prueba,1° Medio,08:30,Sala 201
2025-04-21,Matemáticas,Prueba,2° Medio,10:00,Sala 205
2025-04-23,Lenguaje,Prueba,3° Medio,08:30,Sala 301
2025-04-23,Biología,Laboratorio,4° Medio,10:00,Laboratorio
2025-04-26,Inglés,Oral,2° Medio,14:00,Sala 205
2025-04-28,Física,Prueba,1° Medio,08:30,Sala 201
2025-04-30,Química,Prueba,4° Medio,10:00,Sala 305
